education,birth_year,state,gender,zodiac,work
University,,Illinois,Male,,
High School,,Pennsylvania,Male,,
Master,,Texas,,Leo,
University,,Arkansas,Male,,
,1990,Pennsylvania,Male,Pisces,
University,1982,Pennsylvania,Male,Capricorn,
High School,,Iowa,Male,,
University,,,Male,,
University,,New Mexico,Female,,
High School,,Florida,Male,,
,,,Male,Gemini,
High School,,,Male,,
,,Pennsylvania,Male,Cancer,
High School,,Louisiana,Male,,
High School,,Pennsylvania,Male,,
High School,,Colorado,Male,,
University,,Kansas,Male,,
,,Florida,Male,,
High School,,,Male,,
High School,1973,California,Male,Gemini,
University,1982,New York,Male,Capricorn,
University,,California,Male,,
University,,,Male,,
University,,New York,Male,,
University,,Florida,Male,,
,,Minnesota,Male,,
University,,Louisiana,Female,Gemini,
High School,,New Jersey,Male,,Construction and Extraction Occupations
High School,,Rhode Island,Male,,
University,,,Male,,
University,,Ohio,Male,,
University,,Mississippi,Male,,
University,,Alabama,Male,,
University,,Texas,Male,,
High School,,Georgia,Male,Cancer,
High School,,West Virginia,Male,,
University,,New Jersey,Male,,
High School,1953,New York,Male,Aries,
University,,Pennsylvania,Male,,
University,,Michigan,Male,,
University,,New York,Male,,
University,,New York,Male,,
University,,Texas,Male,,
High School,1978,Tennessee,Male,Virgo,
High School,,Rhode Island,,Aquarius,
High School,,Texas,Male,,
,,,Female,Gemini,
University,,Kentucky,Male,,
University,,,Male,,
High School,,California,Male,Scorpio,
High School,1996,,Male,Sagittarius,
University,,Maine,Male,,
High School,,Wyoming,Male,,
High School,,Michigan,Male,,
High School,,New Jersey,Male,,
High School,,Texas,Male,,
University,,Washington,Male,,
High School,,Indiana,Male,,
University,,Iowa,Female,,
High School,,Missouri,Male,,
High School,,South Carolina,Male,,
University,,Georgia,Male,Aries,
High School,1985,New York,Male,Gemini,
University,1986,North Carolina,Male,Cancer,
High School,,Texas,Male,,
University,,Tennessee,Male,Pisces,
University,1985,New Mexico,Male,Aquarius,
University,,Missouri,Male,,
University,,California,Male,,
University,,Kentucky,Male,,
University,,Pennsylvania,Male,,
University,,Texas,Male,,
High School,,Texas,Male,,
University,,New York,Male,,
University,1983,Pennsylvania,Male,Virgo,
University,1992,Washington,Male,Pisces,
University,,Rhode Island,Male,,
University,,Florida,Male,,
University,,Texas,Male,,
University,,Illinois,Male,,
University,,Illinois,Male,,
University,1982,Ohio,Male,Sagittarius,
University,,Georgia,Male,Capricorn,
High School,,South Dakota,Male,,
University,,Florida,Male,,
University,,Louisiana,Male,,
University,,Pennsylvania,Male,,
High School,,Georgia,Male,,
University,,Georgia,Male,,
University,,Texas,Male,,
High School,,Texas,Male,,
University,,Maryland,Male,,
University,,Illinois,Male,,
